FT    ID    AT    WT    ST
8     11     3     0     5
11     9     2     0     9
12     7     2     0     10
13     8     2     0     11
13     2     1     0     12
15     6     2     0     13
15     5     1     0     14
19     4     1     0     18
20     20     7     5     8
20     3     1     0     19
25     27     17     3     5
25     28     17     2     6
25     16     6     2     17
26     1     1     0     25
28     31     19     6     3
28     15     5     9     14
30     25     13     8     9
32     30     19     9     4
35     38     28     0     7
41     39     29     5     7
41     32     22     9     10
42     35     25     3     14
42     36     26     0     16
43     21     9     9     25
46     14     4     0     42
47     34     24     1     22
55     40     29     1     25
56     48     35     0     21
63     49     37     6     20
64     57     41     3     20
65     26     15     0     50
67     61     45     9     13
70     70     51     13     6
70     56     41     9     20
73     69     51     16     6
74     76     56     14     4
76     51     39     3     34
79     80     58     16     5
80     73     55     15     10
80     63     46     9     25
81     74     55     18     8
82     24     13     2     67
83     53     40     9     34
90     67     49     16     25
92     82     60     19     13
93     55     41     6     46
95     78     57     19     19
100     92     70     13     17
100     88     64     18     18
104     79     58     22     24
105     84     61     19     25
106     12     3     0     103
113     68     50     13     50
116     10     2     93     21
123     66     49     7     67
125     18     6     94     25
126     29     18     106     2
127     33     22     104     1
129     86     61     20     48
143     37     28     105     10
149     22     11     102     36
166     43     31     120     15
168     44     32     125     11
176     42     31     102     43
182     47     35     139     8
187     50     37     145     5
190     52     40     144     6
190     13     4     96     90
196     45     33     135     28
206     71     52     152     2
208     77     57     149     2
232     81     60     148     24
239     59     44     149     46
252     83     60     180     12
252     54     40     153     59
257     87     63     184     10
270     91     67     193     10
314     64     47     151     116
319     89     64     193     62
Orders: 79 [Norm:7, Veg:28, VIP:20]
cooks: 12 [Norm:6, Veg:4, VIP:2, injured:33]
Avg Wait = 46.1772, Avg Serv = 22.9367
Urgent orders: 24,  Auto-promoted: 53.3333%
