FT    ID    AT    WT    ST
6     17     5     0     1
18     20     7     1     10
18     6     1     0     17
19     15     5     0     14
19     10     2     0     17
22     11     2     0     20
23     2     1     0     22
24     28     17     2     5
24     4     1     0     23
28     30     20     4     4
29     27     17     6     6
31     31     20     8     3
31     16     5     0     26
33     1     1     0     32
34     25     13     6     15
36     36     26     5     5
39     32     22     7     10
41     8     1     0     40
44     14     4     0     40
52     35     25     7     20
58     34     23     1     34
62     48     35     5     22
68     40     29     5     34
68     24     12     6     50
68     21     10     8     50
70     42     30     6     34
70     12     2     0     68
73     38     28     5     40
113     5     1     72     40
115     3     1     71     43
122     26     16     6     100
133     9     2     123     8
135     7     1     117     17
136     46     33     8     95
191     18     8     135     48
260     22     11     190     59
272     29     18     252     2
279     33     23     255     1
300     37     28     251     21
311     13     4     131     176
324     39     28     282     14
346     44     32     302     12
355     43     31     290     34
398     47     35     330     33
417     45     32     324     61
Orders: 45 [Norm:4, Veg:17, VIP:12]
cooks: 12 [Norm:7, Veg:2, VIP:3, injured:19]
Avg Wait = 71.5778, Avg Serv = 31.6889
Urgent orders: 12,  Auto-promoted: 58.3333%
