FT    ID    AT    WT    ST
5     3     2     0     3
6     5     4     0     2
6     6     4     0     2
6     2     2     0     4
8     13     6     0     2
8     4     3     0     5
8     1     2     0     6
9     16     7     0     2
9     7     5     0     4
11     14     7     1     3
11     11     6     0     5
12     15     7     3     2
12     17     7     2     3
12     20     7     2     3
12     10     6     0     6
13     8     5     0     8
13     9     5     0     8
16     18     7     4     5
17     19     7     2     8
Orders: 19 [Norm:7, Veg:2, VIP:9]
cooks: 11 [Norm:6, Veg:2, VIP:3, injured:1]
Avg Wait = 0.736842, Avg Serv = 4.26316
Urgent orders: 1,  Auto-promoted: 38.4615%
