FT    ID    AT    WT    ST
5     3     2     0     3
7     1     1     0     6
8     1     1     4     3
8     2     2     0     6
9     5     1     0     8
13     4     1     7     5
13     1     1     7     5
13     1     1     6     6
13     7     1     0     12
14     6     1     0     13
17     1     1     0     16
21     11     2     11     8
22     10     2     0     20
28     27     9     13     6
29     1     2     11     16
41     8     1     0     40
43     1     1     8     34
46     26     8     13     25
47     35     15     31     1
49     33     13     16     20
58     1     1     12     45
63     18     4     9     50
73     32     12     16     45
83     37     15     28     40
84     9     2     71     11
90     13     3     74     13
97     14     3     76     18
104     19     5     9     90
122     17     3     100     19
124     15     3     95     26
141     34     15     26     100
155     24     8     119     28
158     25     8     144     6
171     29     10     144     17
227     30     10     160     57
267     22     7     10     250
268     23     8     106     154
279     31     11     174     94
Orders: 38 [Norm:1, Veg:13, VIP:6]
cooks: 9 [Norm:3, Veg:4, VIP:2, injured:17]
Avg Wait = 39.4737, Avg Serv = 34.6316
Urgent orders: 18,  Auto-promoted: 64.7059%
